feature,mean_frac_hi,mean_frac_lo,mean_or,median_or,n_proteins,mean_perm_p,BH_q
active_site,0.027722474187443166,0.0,inf,,0,0.1324736842105263,0.6038730158730158
binding_site,0.07958413643385431,0.026966320725375813,3.11995686695236,4.463529111220302,26,0.23793181818181816,0.6038730158730158
disulfid,0.38056982562411057,0.385747264998294,0.9783319509883035,0.7016129032258064,15,0.47362499999999996,0.6038730158730158
domain,0.6379993541737817,0.8225860795363764,0.3801169456946358,0.32175818249233157,37,0.8356666666666667,0.8356666666666667
mod_res,0.03575068797707502,0.024764384708884257,1.4600814289744544,0.9897959183673469,31,0.4838048780487805,0.6038730158730158
motif,0.06316153832666833,0.06531898692707082,0.9647437347345152,1.337843833185448,19,0.48113043478260875,0.6038730158730158
region,0.3394973960833752,0.2793848528517725,1.3257524656829285,1.686589707627576,55,0.40115873015873016,0.6038730158730158
transmembrane,0.3353905094358031,0.3026223638864922,1.1629237156081964,1.12699307193589,17,0.5283888888888888,0.6038730158730158
