config,n_struct_models,n_proteins,median_rho,ci_low,ci_high,frac_negative,sign_p
full trio (ESM-IF1 + MIF + ProteinMPNN),3,154,-0.04806789821170661,-0.0914533354602155,-0.031611900769529716,0.6363636363636364,0.0008935310594584625
single: ESM-IF1,1,154,-0.06215745140237243,-0.09671336806600378,-0.027195374515307246,0.6883116883116883,3.38755712262947e-06
single: MIF,1,154,-0.06444635210149184,-0.08827922208411122,-0.03392866235220997,0.6623376623376623,6.865233358189445e-05
single: ProteinMPNN,1,154,-0.049921280356709036,-0.06823340567087759,-0.02057577889284025,0.6623376623376623,6.865233358189445e-05
pair: MIF + ProteinMPNN,2,154,-0.047834273567262914,-0.07553080185587857,-0.034460327000281545,0.6688311688311688,3.375733630556495e-05
pair: ESM-IF1 + ProteinMPNN,2,154,-0.056113181206056795,-0.07737174403697761,-0.020244887485264283,0.6428571428571429,0.0004897931192734434
pair: ESM-IF1 + MIF,2,154,-0.05958253606625137,-0.09439288752277508,-0.02573509021319744,0.6428571428571429,0.0004897931192734434
