method,n_proteins,median_rho,mean_rho,mean_auroc
best_single(U_evolution),186,0.47268787625309494,0.46726709492689383,0.7481018124775048
biogate,186,0.5510467893522817,0.5260590962131858,0.7471770103763827
linear_stacking,186,0.5277946370791439,0.5207984815555367,0.7584021092016313
uniform_ensemble,186,0.5424297923414402,0.5257045424175316,0.7569438194545256
xgboost,186,0.5727432445114533,0.5460432218072956,0.7579343751427229
