K,n_regimes,has_structure_dissenting,consensus_tolerant_Y,consensus_damaging_Y,mean_crossassay_agreement,n_crossassay_pairs
4,4,False,0.28869947759142145,0.7520732550103663,0.8398886493423059,30
5,5,False,0.25506784245428754,0.7875307629204266,0.7957674532792584,30
6,6,True,0.2565792089151877,0.7491760038413322,0.7758455452717832,30
7,7,True,0.2976244860666971,0.7275856368297423,0.7479734539237932,30
