UniProt_ID,rho_evo_struct,rho_seq_struct
A0A140D2T1_ZIKV,-0.029588963266386364,-0.030531201145650753
A0A192B1T2_9HIV1,-0.37482329985156326,-0.24121537749692
A0A1I9GEU1_NEIME,0.18848465634877135,0.2967942483011818
A0A247D711_LISMN,-0.018763470013463072,-0.1652534071025446
A0A2Z5U3Z0_9INFA,-0.13271112431488757,-0.16511735631117258
A4D664_9INFA,-0.030267226513988794,-0.0672329977600478
A4GRB6_PSEAI,-0.13357745307070829,-0.021538682406134487
AACC1_PSEAI,0.14198891456275248,0.25863796815527634
ACE2_HUMAN,-0.13541541783081587,-0.07380709747861533
ADRB2_HUMAN,0.046591672814313964,0.09417427995229069
AMIE_PSEAE,-0.12439296104691336,-0.08621501000932043
ANCSZ,-0.1097941885830275,-0.07988932464506615
ARGR_ECOLI,0.11324753148748126,0.1422216539167675
BBC1_YEAST,0.014333799098781392,-0.020012364875934406
BCHB_CHLTE,0.1081773359173256,0.16615082533158296
BLAT_ECOLX,0.12535957180659055,0.09964725785793435
BRCA1_HUMAN,-0.03110440780145674,0.018606879978821933
BRCA2_HUMAN,0.08535085775919267,-0.01144999697855962
C6KNH7_9INFA,-0.13409354708581722,-0.10992221500831444
CALM1_HUMAN,-0.12689695764940587,-0.10017898358809847
CAR11_HUMAN,-0.1919210405543006,-0.1856493209791888
CAS9_STRP1,0.03622516717003788,0.06208091995673484
CASP3_HUMAN,-0.08368130141623843,-0.11874086042649284
CASP7_HUMAN,0.0020485961445067726,-0.07593745481622335
CATR_CHLRE,-0.05551848606589835,-0.08804495502370674
CBPA2_HUMAN,-0.18665787706213527,0.016786185171235184
CBS_HUMAN,-0.019738801390889526,-0.0012746454448622562
CBX4_HUMAN,0.08672685373042535,0.07409719562904005
CCDB_ECOLI,0.1489153590636989,0.06923700084127007
CCR5_HUMAN,0.042850221685015163,0.03137613381903932
CD19_HUMAN,-0.08692931125306462,0.07845466423163149
CP2C9_HUMAN,-0.04479575429500267,-0.04092676277555457
CSN4_MOUSE,0.19786951834203625,0.12380914116964725
CUE1_YEAST,-0.23232086111368822,-0.015667356859375887
D7PM05_CLYGR,-0.023404225019817777,0.025735093629967717
DLG4_HUMAN,-0.25559639159345454,-0.34094705830499433
DLG4_RAT,-0.3677170519701061,-0.3818959410648235
DN7A_SACS2,0.18575371131649737,0.011075235846604137
DNJA1_HUMAN,-0.26383592479639667,-0.2522973371800215
DOCK1_MOUSE,0.19908142070881746,0.24572025186061044
DYR_ECOLI,0.025014280950095995,0.056431597144305234
ENVZ_ECOLI,-0.013448180050013895,0.11686579605445958
ENV_HV1BR,-0.29540557829823894,-0.2032023010280479
EPHB2_HUMAN,-0.06162710612079941,0.0922945244444628
ESTA_BACSU,0.006990042149962177,-0.05689613341509137
FECA_ECOLI,0.07414077271860306,0.12040037001017126
FKBP3_HUMAN,0.06509248693703902,0.03622744922709749
GAL4_YEAST,0.07497796449626411,0.20217722273786515
GDIA_HUMAN,0.06102276162329251,0.0627372360601236
GFP_AEQVI,-0.09563966711961172,0.12391966550926134
GRB2_HUMAN,-0.11067821067821071,0.05000000000000001
HCP_LAMBD,-0.12489402769036978,-0.04545536536391274
HECD1_HUMAN,0.21626228057253621,0.1560786585514951
HEM3_HUMAN,-0.14627920374761177,-0.18431766159985521
HIS7_YEAST,-0.08654860958222922,-0.11835026579478479
HMDH_HUMAN,0.037918858397409404,0.10205004523916837
HSP82_YEAST,-0.034717795540090406,-0.026044696543729567
HXK4_HUMAN,0.0877734558723459,0.019136584259815053
I6TAH8_I68A0,-0.0420437934361713,-0.06173408652917294
IF1_ECOLI,-0.11583949122197856,0.031709533132945826
ILF3_HUMAN,-0.29951877131593585,-0.2696054595526469
ISDH_STAAW,-0.17472085455891653,0.046322853036062116
KCNE1_HUMAN,-0.08679897473490189,0.03254192603455924
KCNJ2_MOUSE,-0.02295983431737533,0.08446771087938165
KKA2_KLEPN,-0.06697297325324435,-0.037116804945510756
LGK_LIPST,-0.0683991164635013,-0.08598301653379074
MBD11_ARATH,0.058199125346300715,0.06062060975812672
