set,comparison,n_proteins,median_delta,ci_low,ci_high,frac_positive
full,auroc_biogate - auroc_uniform,1530,-0.011096746390864054,-0.013574660633484226,-0.008227374719521174,0.10522875816993464
full,auroc_best - auroc_uniform,1530,0.0,0.0,0.0,0.23202614379084968
full,auroc_best - auroc_biogate,1530,0.0,0.0,0.005348970251716267,0.49869281045751634
strict,auroc_biogate - auroc_uniform,789,0.04516711833784981,0.038461538461538436,0.05303030303030298,0.7769328263624842
strict,auroc_best - auroc_uniform,789,0.08510638297872342,0.07727272727272716,0.09081196581196582,0.9011406844106464
strict,auroc_best - auroc_biogate,789,0.022727272727272596,0.0185185185185186,0.02777777777777779,0.6831432192648923
