config,fold_medians,median_rho
scores_only,"[np.float64(0.5030403448318331), np.float64(0.5000921910601558), np.float64(0.5551224432198489), np.float64(0.5087666465557199), np.float64(0.5883137078917164)]",0.5087666465557199
context_only,"[np.float64(0.17027241305342175), np.float64(0.1472529373702347), np.float64(0.16662353161537735), np.float64(0.13666563012786329), np.float64(0.2325576682562647)]",0.16662353161537735
scores_context,"[np.float64(0.54373927454545), np.float64(0.5468180137745244), np.float64(0.5793612454710704), np.float64(0.5505145435923742), np.float64(0.6060579767211276)]",0.5505145435923742
uniform_ensemble,[],0.5424297923414402
