plddt_bin,n_variants,n_assays,median_rho,p25,p75
<50,42273,69,0.03997945153724704,-0.02591799472533417,0.14088164181599494
50-70,42607,111,0.027171549553673607,-0.03197639645275834,0.11655056644499684
70-90,157897,180,0.036189890153892026,-0.03421337594505237,0.11217286568935521
>=90,446394,199,0.028937501004339377,-0.02812230211732342,0.07942866762571604
