family,context,n,median_adv,frac_pos
seq,IDR,26852,-0.043170200563555305,0.3783783783783784
seq,ordered,669459,0.03789799888352437,0.8763440860215054
seq,lowconf,42273,0.008060565190912972,0.524390243902439
seq,highconf,654038,0.037496750724112154,0.8870967741935484
evo,IDR,26852,0.015644421793845176,0.5405405405405406
evo,ordered,669459,-0.010535243628324267,0.3709677419354839
evo,lowconf,42273,0.08729684497092888,0.6219512195121951
evo,highconf,654038,-0.014586879682781051,0.3924731182795699
struct,IDR,26852,0.06044028024093906,0.7027027027027027
struct,ordered,669459,0.005205683592343441,0.5806451612903226
struct,lowconf,42273,-0.10385065630274934,0.4146341463414634
struct,highconf,654038,0.0065085410528127816,0.5752688172043011
