dataset,n_units,median_rho,ci_low,ci_high,frac_positive
"DMS (two-family, matched to clinical)",217,0.02664626786688463,0.01876790107278282,0.03794484347453791,0.7004608294930875
"DMS (three-family total, Section 2.6 anchor)",217,0.027823412690699042,0.013813943392982662,0.03904929667216486,0.6359447004608295
"Clinical (two-family, same definition)",658,-0.46533830837942547,-0.49622542308682716,-0.4400234524075417,0.034954407294832825
DMS: AUROC of two-family disagreement for above-median error,217,0.5148251217890979,0.5097202756581858,0.5217076938085328,0.7327188940092166
Clinical: AUROC of low two-family disagreement for misclassification,658,0.6776643990929705,0.6631432426269382,0.6916099773242631,0.9224924012158054
