bin,median,mean,count
0-5,0.6304622570549363,0.662675468328651,27673
6-10,0.5893766949965851,0.6151416909565757,21843
11-20,0.5770137187165519,0.6034494287787918,39949
>20,0.6282297269759971,0.6500896452567642,377446
