UniProt_ID,n_idr,D_evo_struct_idr,D_evo_struct_ord,D_seq_struct_idr,D_seq_struct_ord,D_std_idr,D_std_ord
A0A1I9GEU1_NEIME,115,0.5016112897412623,0.5907094956406828,0.3671290940974165,0.5604058380907108,0.5556097270562473,0.5521283283509005
AACC1_PSEAI,131,0.4152465818005591,0.5608703877043104,0.32609753051233525,0.5214961044593973,0.5909526899096039,0.5477683907440322
ADRB2_HUMAN,416,0.4089493777275349,0.48501159633330326,0.3802317488806687,0.47062424680303017,0.675943794619077,0.502885288110789
CASP7_HUMAN,40,0.5648239190770705,0.45275135879737477,0.6362239844312436,0.45182920490588885,0.9947121264117702,0.5247255247029943
CATR_CHLRE,76,0.3469897132289641,0.49628475144331696,0.36772541830325034,0.4712906229178244,0.6929033965728878,0.5254000478282703
CBS_HUMAN,879,0.4809771553199602,0.49095415708896534,0.4115313405006653,0.458234185143405,0.5880500222562365,0.5337415864901507
HSP82_YEAST,1592,0.5204222534149832,0.5678949176110546,0.4771929219875699,0.5641045412229788,0.5918395678055641,0.5467745649245697
I6TAH8_I68A0,399,0.912774254337533,0.6203546681865206,1.234206686236119,0.5522473505260688,0.9575098930367428,0.7451194067912722
ILF3_HUMAN,72,0.7216858872966347,0.46424037348303504,0.6629078691669401,0.5068686092839016,0.8916071919699244,0.5967171062170756
KCNJ2_MOUSE,378,0.6320075708210714,0.5557751403203375,0.6589334865558125,0.5343022645155346,0.5880574826471012,0.565023843875833
MBD11_ARATH,334,0.4213147081854721,0.5537823092493552,0.36081745113802954,0.5026229857269873,0.6484661191666259,0.6115103008018984
MTHR_HUMAN,836,0.46441791560703066,0.5253279187922463,0.38933529017371626,0.49534048197904235,0.6541915536755673,0.5886275258846645
MYO3_YEAST,348,0.5909630573089936,0.517512608249748,0.6063849841839171,0.5161943845381856,0.6121816386231904,0.581665248565889
NCAP_I34A1,399,0.7586934706240716,0.6140660568294379,1.0439026132175049,0.5465676176864831,0.9150273747535634,0.7420568187468819
NKX31_HUMAN,37,0.26216973799729343,0.4837952986690749,0.7801976382710647,0.5713133162437654,0.9019187175218807,0.513567339667802
P53_HUMAN,7701,0.6221947746203351,0.5320100015357023,0.4560285997662902,0.4926125137524073,0.5904882335914164,0.6232037399349681
PIN1_HUMAN,205,0.4418785701784642,0.3949007803137311,0.4827068805375746,0.42666169559202965,0.6177122734001265,0.5345950098999721
PITX2_HUMAN,189,0.45908891338174485,0.6422079502882255,0.43273352376912533,0.5927985971609333,0.5334022214806144,0.5205035566015627
PPM1D_HUMAN,1184,0.6298587204396089,0.449187053776228,0.44750760642306897,0.4251211694076148,0.6052544496988812,0.5696203642150837
PRKN_HUMAN,437,0.42292511109754993,0.47810126756912164,0.3468464029750721,0.4487403552883322,0.5652124639281021,0.5746694075422218
PTEN_HUMAN,1620,0.5409298137047097,0.4985489741342417,0.5117225197348176,0.4561125141054818,0.6548672673017439,0.5924025759297533
RD23A_HUMAN,38,0.267787639110257,0.4282243293518266,1.003888925827923,0.436142776884252,0.9143367994658416,0.5347786366761942
RDRP_I33A0,512,0.7666211242731766,0.6133219536201495,0.5761182015618933,0.5125604001573354,0.6841424501573552,0.7443395325890035
REV_HV1H2,1007,0.6025161449357886,0.6806686249825888,0.531313893451235,0.558659142099362,0.6243112583609537,0.615044287287573
SC6A4_HUMAN,1121,0.4795664326726448,0.494895780054079,0.3862141064610663,0.4624011655496402,0.5434317322101575,0.5191896907567617
SHOC2_HUMAN,1632,0.4247553787918642,0.44366853215431734,0.4209643726100681,0.41986917936172297,0.6415777971443284,0.518649290606629
SPIKE_SARS2,2024,0.550354564491554,0.5511992144169157,0.5668554886106395,0.5360013729114964,0.7303838805851816,0.7341677604657848
SRBS1_HUMAN,57,0.5625347194831871,0.5051402431954248,0.6915835418424058,0.5465668302750915,0.7902337917384246,0.5622437585023476
SYUA_HUMAN,656,0.5414968897720844,0.6785515663955641,0.6252421512309121,0.6402381172378846,0.5781465775186052,0.6114583872468038
TADBP_HUMAN,686,0.48996591815219254,0.5867236221110119,0.4529236297607792,0.5943664177997442,0.5757280225965677,0.688238293444501
TAT_HV1BR,1026,0.6359405916235764,0.6972333454473739,0.4743256109797703,0.5092905798134808,0.6168415502192267,0.7197083800865939
TCRG1_MOUSE,111,0.40983669659385813,0.411496239305473,0.3442038622525546,0.32147507484750526,0.5140955843410137,0.5030993404261372
THO1_YEAST,92,0.5483944098501483,0.4804193190008917,0.4063945151609019,0.4154535915576417,0.72202927717461,0.5394516690563803
YAIA_ECOLI,446,0.5316734535614389,0.6248589494622869,0.39439182173207304,0.5350747289815194,0.6920023192704695,0.7062973013049862
