UniProt_ID,dD_evo_struct,dD_std
A0A140D2T1_ZIKV,0.05549351815561521,-0.0022365629353020555
A0A192B1T2_9HIV1,0.38678752721589305,0.033806079517296195
A0A1I9GEU1_NEIME,-0.2322261374902933,-0.03196266649290158
A0A247D711_LISMN,0.0647403985141356,-0.018800855716210263
A0A2Z5U3Z0_9INFA,0.07270467390544477,0.027743015714890573
A4D664_9INFA,0.04951722954092741,0.019023150445667047
A4GRB6_PSEAI,0.09696097824690197,0.06259583533099183
AACC1_PSEAI,-0.13120269888846448,0.008182217303385864
ACE2_HUMAN,0.09785760505805208,0.047677014187077926
ADRB2_HUMAN,-0.008322001135305901,0.009459335565383142
AMIE_PSEAE,0.0741261590511676,0.06151045182212134
ANCSZ,0.034978172183969536,-0.00596769067299685
ARGR_ECOLI,-0.190231449424887,-0.023237987716320685
BBC1_YEAST,-0.04380168174657406,0.020642595039190748
BCHB_CHLTE,-0.15655216330863997,-0.05062383143609728
BLAT_ECOLX,-0.07591563149888386,0.026280159110629864
BRCA1_HUMAN,0.033853000986818815,0.0012399789868832167
BRCA2_HUMAN,-0.2511980543058757,-0.09289288268252571
C6KNH7_9INFA,0.0795409011587156,0.0361989977325734
CALM1_HUMAN,0.025816724061192287,0.025294577630531223
CAR11_HUMAN,0.09385923519736039,0.010847211452660654
CAS9_STRP1,0.002852999387940258,-0.018534599239627414
CASP3_HUMAN,0.045796642988599034,-0.011204036622601277
CASP7_HUMAN,-0.030142035092854014,0.003202023829105727
CATR_CHLRE,-0.0367661627278153,0.05889932978534185
CBPA2_HUMAN,0.2326733922678731,0.011014959633437682
CBS_HUMAN,-0.003797615111219288,-0.0003150067015129654
CBX4_HUMAN,-0.08456462415456834,0.06122183542967585
CCDB_ECOLI,-0.1298908801610693,-0.006017120900633999
CCR5_HUMAN,-0.024991949498195887,0.03368718753989797
CD19_HUMAN,0.05912799929483359,-0.03924360493522161
CP2C9_HUMAN,0.025704522175457822,0.007436071329531835
CSN4_MOUSE,-0.1303976778602276,0.07168722146738205
CUE1_YEAST,0.0875496374219541,0.0466513007617827
D7PM05_CLYGR,-0.028059270184245533,-0.005552155456129304
DLG4_HUMAN,0.033737972837662056,-0.025045826000515747
DLG4_RAT,0.1888656987448214,-0.0016642721956123818
DN7A_SACS2,-0.11867872108227884,0.04157820501758602
DNJA1_HUMAN,0.16855991945162185,0.06715882105717619
DOCK1_MOUSE,-0.08697016668228674,-0.022796820663971706
DYR_ECOLI,-0.025407439186289404,0.014920620685965447
ENVZ_ECOLI,-0.04202821604023954,0.14880241142378192
ENV_HV1BR,0.28131463643650867,0.05680406479289035
EPHB2_HUMAN,0.08339046992949861,0.003996550661742093
ESTA_BACSU,-0.01877627407461907,-0.005384176001563934
FECA_ECOLI,-0.0778316307289661,-0.021636085131332083
FKBP3_HUMAN,-0.02796324769470615,-0.045750350030492326
GAL4_YEAST,-0.11503893804113541,0.06042026295322667
GDIA_HUMAN,-0.024408717181269468,0.010085836719673447
GFP_AEQVI,0.03194759008230241,-0.004507371950537298
GRB2_HUMAN,0.01562767383335356,-0.014429925854954617
HCP_LAMBD,0.044647634370684475,0.07415108344980825
HECD1_HUMAN,-0.28960089307850967,0.03391967782036864
HEM3_HUMAN,0.15833891342518047,0.0543750278921471
HIS7_YEAST,0.0829716966297423,-0.031754818522795714
HMDH_HUMAN,-0.008392410786104643,-0.01617652338278941
HSP82_YEAST,0.027091339395794556,0.018044138772419727
HXK4_HUMAN,-0.055944777412356705,0.022001128635866563
I6TAH8_I68A0,0.06421920566812367,-0.025812633892421277
IF1_ECOLI,0.11345211356399487,0.06498118907845407
ILF3_HUMAN,0.1795442343723168,0.061831944825463836
ISDH_STAAW,0.24193513218015417,0.13482241113586135
KCNE1_HUMAN,0.12829327128165768,-0.036791533871609716
KCNJ2_MOUSE,-0.015884119440874422,0.028780263581977716
KKA2_KLEPN,0.06722536162755799,0.018162417811536824
LGK_LIPST,0.005620963613019003,0.033366957960392796
MBD11_ARATH,-0.011866163661785611,0.05811750014416195
MET_HUMAN,0.13464963842873096,0.04348652473984438
MK01_HUMAN,0.04154602849110833,0.12334172140046373
MLAC_ECOLI,0.21718765497219739,0.01838275710065662
