definition,n_proteins,median_rho,ci_low,ci_high,frac_negative
D_MAD,154,-0.07606857734996769,-0.10433636265316446,-0.051793211572793846,0.7532467532467533
D_pair,154,-0.08931459298996405,-0.10911437252581238,-0.05209808284595445,0.7337662337662337
D_std,154,-0.0780863121142451,-0.10134029002988029,-0.039666796864053666,0.7142857142857143
D_u,154,-0.11456118701443056,-0.14977075990176095,-0.09073425069656563,0.7662337662337663
