DMS_id,n_variants,median_D,p95_D,frac_highD
A0A140D2T1_ZIKV_Sourisseau_2019,9576,0.7252922285603578,1.0622990967693007,0.10004177109440267
A0A192B1T2_9HIV1_Haddox_2018,12577,0.6575078116287657,0.9989163187022171,0.10002385306511886
A0A1I9GEU1_NEIME_Kennouche_2019,922,0.5522904816302094,0.8735107559502158,0.10086767895878525
A0A247D711_LISMN_Stadelmann_2021,1653,0.671728453456052,1.130374712391351,0.10042347247428918
A0A2Z5U3Z0_9INFA_Doud_2016,10715,0.6653802248114643,1.0187715048933506,0.10004666355576294
A0A2Z5U3Z0_9INFA_Wu_2014,2350,0.652538515912254,1.0072831929647457,0.1
A4D664_9INFA_Soh_2019,14421,0.766978179101834,1.1190850809722692,0.10006240898689411
A4GRB6_PSEAI_Chen_2020,5004,0.533466021819851,0.9072114655396956,0.10011990407673861
A4_HUMAN_Seuma_2022,796,0.6507265640491365,0.9669021584455018,0.10050251256281408
AACC1_PSEAI_Dandage_2018,1801,0.551082211544688,0.8989785402017333,0.10049972237645752
ACE2_HUMAN_Chan_2020,2223,0.6048559606188093,0.9093941404335624,0.100314889788574
ADRB2_HUMAN_Jones_2020,7800,0.5087307563421252,0.8380123801855967,0.1
AICDA_HUMAN_Gajula_2014_3cycles,209,0.6776934612285905,0.9633624782155115,0.10047846889952153
AMFR_HUMAN_Tsuboyama_2023_4G3O,820,0.576748071540981,0.884909443510121,0.1
AMIE_PSEAE_Wrenbeck_2017,6227,0.6183990592981041,0.9635068053445686,0.10004817729243616
ANCSZ_Hobbs_2022,4670,0.5403277968868982,0.8000343349933634,0.1
ARGR_ECOLI_Tsuboyama_2023_1AOY,1287,0.5598191860652884,0.8896307230142766,0.10023310023310024
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,170,0.7234574249011552,1.0610106279171578,0.1
BBC1_YEAST_Tsuboyama_2023_1TG0,1084,0.5358612190141653,0.9012481496010356,0.10055350553505535
BCHB_CHLTE_Tsuboyama_2023_2KRU,890,0.6099215183895936,0.9808632715795831,0.1
